# element i xi w x mat
1 44 0.089928193880546917 0.001460495756900789 2.3174461454104103 1e-08
1 45 0.09165048753730988 0.0011151388087792147 2.3187378656529827 1e-08
1 46 0.092883984735519259 0.00072953348365603122 2.3196629885516393 1e-08
1 47 0.093584389609244534 0.00031819288373149219 2.3201882922069332 1e-08
1 48 0.093832805195377733 0.0001590964418657461 2.3203746038965334 1e-08
1 49 0.09418300763224037 0.00036476674182801561 2.3206372557241801 1e-08
1 50 0.094799756231345081 0.00055756940438960736 2.3210998171735091 1e-08
1 51 0.095660903059726535 0.00073024787845039451 2.3217456772947953 1e-08
1 52 0.096735341840604352 0.00087653899697213099 2.3225515063804529 1e-08
1 53 0.097984243924552905 0.0009911514808300958 2.3234881829434144 1e-08
1 54 0.099362472259537038 0.0010699418850288515 2.3245218541946526 1e-08
1 55 0.10082021476689346 0.0011100621706351698 2.3256151610751701 1e-08
1 56 0.10230478523310654 0.0011100621706351698 2.3267285889248299 1e-08
1 57 0.10376252774046296 0.0010699418850288515 2.3278218958053474 1e-08
1 58 0.10514075607544708 0.0009911514808300958 2.3288555670565856 1e-08
1 59 0.10638965815939566 0.00087653899697213099 2.3297922436195471 1e-08
1 60 0.10746409694027347 0.00073024787845039451 2.3305980727052047 1e-08
1 61 0.10832524376865495 0.00055756940438960736 2.3312439328264913 1e-08
1 62 0.10894199236775963 0.00036476674182801561 2.3317064942758199 1e-08
1 63 0.10929219480462227 0.0001590964418657461 2.3319691461034666 1e-08
1 64 0.10938535064942222 1.9887055233218262e-05 2.3320390129870665 1e-08
1 65 0.10942912595403005 4.5595842728501951e-05 2.3320718444655224 1e-08
1 66 0.10950621952891815 6.969617554870092e-05 2.3321296646466889 1e-08
1 67 0.10961386288246582 9.1280984806299314e-05 2.3322103971618495 1e-08
1 68 0.10974816773007554 0.00010956737462151637 2.3323111257975566 1e-08
1 69 0.10990428049056911 0.00012389393510376198 2.3324282103679268 1e-08
1 70 0.11007655903244212 0.00013374273562860643 2.3325574192743317 1e-08
1 71 0.11025877684586169 0.00013875777132939623 2.3326940826343963 1e-08
1 72 0.11044434815413832 0.00013875777132939623 2.3328332611156037 1e-08
1 73 0.11062656596755788 0.00013374273562860643 2.3329699244756683 1e-08
1 74 0.11079884450943089 0.00012389393510376198 2.3330991333820732 1e-08
1 75 0.11095495726992446 0.00010956737462151637 2.3332162179524434 1e-08
1 76 0.11108926211753418 9.1280984806299314e-05 2.3333169465881505 1e-08
1 77 0.11119690547108188 6.969617554870092e-05 2.3333976791033115 1
1 78 0.11127399904596995 4.5595842728501951e-05 2.3334554992844776 1
1 79 0.11131777435057778 1.9887055233218262e-05 2.3334883307629335 1
